Tipo,Numero,Data,Nivel,Ementa
Resolução Conjunta SEMAD/IEF,1.897,12/08/2013,Estadual,Dispõe sobre os processos de autorização para intervenção ambiental no âmbito do Estado de Minas Gerais e dá outras providências.
Portaria IEF,1.905,13/08/2013,Estadual,Aprova o regimento interno do Conselho Consultivo do Parque Estadual do Rio Doce - PERD.
Resolução Conjunta SEMAD/IEF,"128,00",14/08/2013,Estadual,Estabelece os procedimentos para regulamentação de colheita e comercialização das florestas plantadas com essência exótica no âmbito do Estado de Minas Gerais.
Lei,1.906,16/10/2013,Estadual,Dispõe sobre as políticas florestal e de proteção à biodiversidade no Estado.
Deliberação Normativa COPAM,20.922,30/10/2013,Estadual,Estabelece diretrizes gerais e prazos para publicação dos editais de chamamento público de propostas de modelagem de sistemas de logística reversa no Estado de Minas Gerais.
Resolução Conjunta SEMAD/IGAM,"188,00",04/09/2013,Estadual,Define os pequenos núcleos populacionais rurais que independem de outorga.
Resolução Conjunta SEMAD/IGAM,1.913,04/12/2013,Estadual,Estabelece procedimentos para o cadastro de obras e serviços relacionados às travessias aéreas ou subterrâneas em corpos de água do domínio do Estado de Minas Gerais e dá outras providências.
Resolução Conjunta SEMAD/IEF/FEAM,1.964,06/01/2014,Estadual,Altera a Resolução Conjunta SEMAD/IEF/FEAM nº 1.919
Deliberação Normativa COPAM,1.995,03/04/2014,Estadual,Estabelece exigências de prestação periódica de informações sobre o resíduo denominado escória de aciaria.
Decreto Estadual,"195,00",05/05/2014,Estadual,Dispõe sobre o Conselho Estadual de Recursos Hídricos - CERH-MG.
Resolução Conjunta SEMAD/IEF,46.501,23/05/2014,Estadual,Estabelece os procedimentos para regulamentação da queima controlada no âmbito do Estado de Minas Gerais e dá outras providências.
Resolução Conjunta SEMAD/IGAM,2.075,26/03/2013,Estadual,"Estabelece Termo de Auto Declaração de Uso Insignificante de Recursos Hídricos, no âmbito do Programa Nacional de Habitação Rural –Minha Casa, Minha Vida Rural."
Resolução SEMAD,1.832,14/11/2014,Estadual,"Institui Grupo Técnico responsável por melaborar estudos para definição de diretrizes técnicas para regularização de atividades de fraturamento hidráulico para produção de gás natural não convencional no Estado de Minas Gerais, e da outras providências."
Decreto Federal,2.210,28/10/2014,Federal,"Contém o Regulamento do Instituto Mineiro de Gestão das Águas – IGAM – e altera o Decreto n° 41.578, de 8 de março de 2001."
Resolução SEMAD,46.636,24/10/2014,Estadual,Determina a realização da Avaliação Ambiental Integrada da Unidade de Planejamento e Gestão de Recursos Hídricos – UPGRH que menciona
Deliberação CERH-MG,2.196,26/11/2014,Estadual,Estabelece a composição do Conselho Estadual de Recursos Hídricos CERH/MG para o triênio 2014 - 2017 e dá outras providências.
Resolução Conjunta SEMAD/IGAM,"361,00",16/12/2014,Estadual,"Estabelece procedimentos a serem observados pelos usuários de recursos hídricos de domínio do Estado de Minas Gerais visando ao envio dos dados de monitoramento pluviométrico, limnimétrico e fluviométrico associados a reservatórios para aproveitamento hidrelétrico e para abastecimento público, e dá outras providências."
Portaria IEF,2.237,22/12/2014,Estadual,Dispõe sobre o Regimento Interno do Conselho Consultivo do Parque Estadual da Lapa Grande.
Resolução Conjunta SEMAD/IEF,"171,00",30/12/2014,Estadual,Dispõe sobre a Guia de Controle Ambiental Eletrônica.
Deliberação Normativa COPAM,2.248,09/09/2004,Estadual,"Estabelece critérios para classificação, segundo o porte e potencial poluidor, de empreendimentos e atividades modificadoras do meio ambiente passíveis de autorização ou de licenciamento ambiental no nível estadual, determinas normas para indenização dos custos de análise de pedidos de autorização e de licenciamento ambiental, e da outras providências."
Decreto Estadual,"74,00",30/03/2015,Estadual,"Institui Força-Tarefa com a finalidade de diagnosticar, analisar e propor alterações no funcionamento do Sistema Estadual de Meio Ambiente e Recursos Hídricos – SISEMA."
Portaria IGAM,46.733,08/05/2015,Estadual,Dispõe sobre criação da Declaração de Área de Conflito – DAC n°003/2015.
Portaria IEF,"18,00",13/05/2015,Estadual,"Dispõe sobre a substituição de suplentes do Conselho Consultivo do Parque Estadual Sete Salões, criado pela Portaria IEF nº 133, de 10 de novembro de 2014."
Resolução SEMAD,"57,00",12/05/2015,Estadual,"Designa membros para o Grupo Coordenador do Fundo de Recuperação, Proteção e Desenvolvimento Sustentável das Bacias Hidrográficas do Estado de Minas Gerais – FHIDRO, e dá outras providências."
Resolução SEMAD,2.269,09/10/2015,Estadual,"Altera a Resolução SEMAD nº 1.871, de 11 de junho de 2013, que determina a suspensão temporária da emissão de Documento Autorizativo para Intervenção Ambiental – DAIA e Autorização para Intervenção Ambiental - AIA, do Bioma Mata Atlântica, com as respectivas delimitações estabelecidas em mapa do Instituto Brasileiro de Geografia e Estatística – IBGE, previsto no art. 2º da Lei nº 11.428, de 22 de dezembro de 2006, para a atividade de silvicultura."
Resolução Conjunta SEMAD/IGAM,2.306,05/10/2015,Estadual,Estabelece critérios para implantação de sistema de medição para monitoramento dos usos e intervenções em recursos hídricos visando à adoção de medidas de controle no estado de Minas Gerais.
